nalehavi,2013,2020
KDU-ČSL,31.7,68.6
TOP 09,20.5,56.7
SPD,null,46.2
ODS,52.6,45.3
Piráti,27.3,45.2
STAN,null,42.3
ČSSD,22.6,38.6
KSČM,20.6,38.3
ANO,18.3,38.3
